事故類型及型態子類別名稱,發生年度,發生月份,發生日期,處理單位名稱警局層,發生地點,天候名稱,道路類別-第1當事者-名稱,當事者順位,當事者區分-類別-大類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,肇因研判子類別名稱-主要,肇事逃逸類別名稱-是否肇逃
側撞,2022,1.0,20220103.0,臺南市政府警察局,臺南市學甲區秀昌里中正路與三民路口,晴,市區道路,2.0,機車,女,86.0,未依規定讓車,否
側撞,2022,1.0,20220103.0,雲林縣警察局,雲林縣二崙鄉崙西鄉中山路與民生路126巷,晴,縣道,1.0,曳引車,男,49.0,未依規定讓車,否
側撞,2022,1.0,20220103.0,雲林縣警察局,雲林縣二崙鄉崙西鄉中山路與民生路126巷,晴,縣道,2.0,小客車,男,24.0,未依規定讓車,否
側撞,2022,1.0,20220103.0,雲林縣警察局,雲林縣二崙鄉崙西鄉中山路與民生路126巷,晴,縣道,3.0,人,女,29.0,未依規定讓車,否
側撞,2022,1.0,20220103.0,雲林縣警察局,雲林縣二崙鄉崙西鄉中山路與民生路126巷,晴,縣道,4.0,人,男,38.0,未依規定讓車,否
撞路樹、電桿,2022,1.0,20220103.0,桃園市政府警察局,桃園市平鎮區洪圳路1168號前0.0公尺,晴,市區道路,1.0,機車,男,50.0,未注意車前狀態,否
撞路樹、電桿,2022,1.0,20220103.0,桃園市政府警察局,桃園市平鎮區洪圳路1168號前0.0公尺,晴,市區道路,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
路口交岔撞,2022,1.0,20220103.0,高雄市政府警察局,高雄市橋頭區鹽南路 / 高雄市橋頭區鹽南路建昌巷段,晴,市區道路,1.0,機車,女,52.0,未依規定讓車,否
路口交岔撞,2022,1.0,20220103.0,高雄市政府警察局,高雄市橋頭區鹽南路 / 高雄市橋頭區鹽南路建昌巷段,晴,市區道路,2.0,機車,男,78.0,未依規定讓車,否
其他,2022,1.0,20220103.0,臺北市政府警察局,臺北市內湖區金湖路371號前0.0公尺,晴,市區道路,1.0,小客車,男,44.0,開啟車門不當而肇事,否
其他,2022,1.0,20220103.0,臺北市政府警察局,臺北市內湖區金湖路371號前0.0公尺,晴,市區道路,2.0,機車,男,76.0,開啟車門不當而肇事,否
其他,2022,1.0,20220103.0,臺北市政府警察局,臺北市內湖區金湖路371號前0.0公尺,晴,市區道路,3.0,小客車,男,40.0,開啟車門不當而肇事,否
路上翻車、摔倒,2022,1.0,20220103.0,嘉義縣警察局,嘉義縣大林鎮西林里台1線251公里600公尺處東向機車優先道,晴,省道,1.0,機車,男,19.0,未注意車前狀態,否
路上翻車、摔倒,2022,1.0,20220103.0,嘉義縣警察局,嘉義縣大林鎮西林里台1線251公里600公尺處東向機車優先道,晴,省道,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
路上翻車、摔倒,2022,1.0,20220103.0,嘉義縣警察局,嘉義縣大林鎮西林里台1線251公里600公尺處東向機車優先道,晴,省道,3.0,小客車,男,33.0,未注意車前狀態,否
路上翻車、摔倒,2022,1.0,20220103.0,嘉義縣警察局,嘉義縣大林鎮西林里台1線251公里600公尺處東向機車優先道,晴,省道,4.0,大貨車,男,48.0,未注意車前狀態,否
穿越道路中,2022,1.0,20220104.0,臺北市政府警察局,臺北市信義區忠孝東路4段 / 臺北市信義區光復南路,晴,市區道路,1.0,人,男,54.0,未依標誌、標線、號誌或手勢指揮穿越道路,否
穿越道路中,2022,1.0,20220104.0,臺北市政府警察局,臺北市信義區忠孝東路4段 / 臺北市信義區光復南路,晴,市區道路,2.0,小客車,男,53.0,未依標誌、標線、號誌或手勢指揮穿越道路,否
側撞,2022,1.0,20220104.0,臺南市政府警察局,臺南市仁德區文賢路2段106號前0.0公尺,晴,市區道路,1.0,大貨車,男,38.0,起步未注意其他車(人)安全,否
側撞,2022,1.0,20220104.0,臺南市政府警察局,臺南市仁德區文賢路2段106號前0.0公尺,晴,市區道路,2.0,小客車,男,48.0,起步未注意其他車(人)安全,否
側撞,2022,1.0,20220104.0,臺南市政府警察局,臺南市仁德區文賢路2段106號前0.0公尺,晴,市區道路,3.0,人,女,21.0,起步未注意其他車(人)安全,否
穿越道路中,2022,1.0,20220104.0,新竹縣政府警察局,新竹縣芎林鄉新鳳村燥坑1-1號前,晴,市區道路,1.0,小客車,男,50.0,未注意車前狀態,否
穿越道路中,2022,1.0,20220104.0,新竹縣政府警察局,新竹縣芎林鄉新鳳村燥坑1-1號前,晴,市區道路,2.0,人,男,83.0,未注意車前狀態,否
其他,2022,1.0,20220104.0,高雄市政府警察局,高雄市岡山區聖森路竹圍098燈桿號前0.0公尺前,晴,市區道路,1.0,大貨車,男,42.0,起步未注意其他車(人)安全,否
其他,2022,1.0,20220104.0,高雄市政府警察局,高雄市岡山區聖森路竹圍098燈桿號前0.0公尺前,晴,市區道路,2.0,人,男,59.0,起步未注意其他車(人)安全,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,1.0,小客車,女,67.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,2.0,,無或物(動物、堆置物),0.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,3.0,,無或物(動物、堆置物),0.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,4.0,機車,女,65.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,5.0,,無或物(動物、堆置物),0.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,6.0,,無或物(動物、堆置物),0.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,7.0,人,女,71.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220104.0,臺中市政府警察局,臺中市太平區大興里大興路658號前0.0公尺,晴,市區道路,8.0,人,女,67.0,酒醉(後)駕駛失控,否
路口交岔撞,2022,1.0,20220105.0,桃園市政府警察局,桃園市龜山區南美街口 / 桃園市龜山區民生北路一段口,晴,村里道路,1.0,機車,女,68.0,其他引起事故之違規或不當行為,否
路口交岔撞,2022,1.0,20220105.0,桃園市政府警察局,桃園市龜山區南美街口 / 桃園市龜山區民生北路一段口,晴,村里道路,2.0,機車,女,28.0,其他引起事故之違規或不當行為,否
同向擦撞,2022,1.0,20220105.0,高雄市政府警察局,高雄市仁武區仁林路前0.0公尺,晴,市區道路,1.0,機車,女,52.0,未注意車前狀態,否
同向擦撞,2022,1.0,20220105.0,高雄市政府警察局,高雄市仁武區仁林路前0.0公尺,晴,市區道路,2.0,半聯結車,男,59.0,未注意車前狀態,否
同向擦撞,2022,1.0,20220105.0,高雄市政府警察局,高雄市仁武區仁林路前0.0公尺,晴,市區道路,3.0,人,女,67.0,未注意車前狀態,否
同向通行中,2022,1.0,20220105.0,宜蘭縣政府警察局,宜蘭縣羅東鎮北投街332號前0.0公尺附近,晴,村里道路,1.0,小客車,男,25.0,未注意車前狀態,否
同向通行中,2022,1.0,20220105.0,宜蘭縣政府警察局,宜蘭縣羅東鎮北投街332號前0.0公尺附近,晴,村里道路,2.0,人,男,86.0,未注意車前狀態,否
同向通行中,2022,1.0,20220105.0,宜蘭縣政府警察局,宜蘭縣羅東鎮北投街332號前0.0公尺附近,晴,村里道路,3.0,人,女,30.0,未注意車前狀態,否
側撞,2022,1.0,20220105.0,桃園市政府警察局,桃園市桃園區春日路口 / 桃園市桃園區向善街口,晴,市區道路,1.0,小客車,女,43.0,未依規定讓車,否
側撞,2022,1.0,20220105.0,桃園市政府警察局,桃園市桃園區春日路口 / 桃園市桃園區向善街口,晴,市區道路,2.0,機車,男,18.0,未依規定讓車,否
路口交岔撞,2022,1.0,20220105.0,彰化縣警察局,彰化縣花壇鄉北口村彰花路451弄67號前0.0公尺,晴,村里道路,1.0,小客車,男,43.0,未依規定讓車,否
路口交岔撞,2022,1.0,20220105.0,彰化縣警察局,彰化縣花壇鄉北口村彰花路451弄67號前0.0公尺,晴,村里道路,2.0,機車,男,81.0,未依規定讓車,否
穿越道路中,2022,1.0,20220105.0,桃園市政府警察局,桃園市大溪區石園路口 / 桃園市大溪區石園路,陰,市區道路,1.0,人,女,73.0,未依規定行走行人穿越道、地下道、天橋而穿越道路,否
穿越道路中,2022,1.0,20220105.0,桃園市政府警察局,桃園市大溪區石園路口 / 桃園市大溪區石園路,陰,市區道路,2.0,小客車,男,32.0,未依規定行走行人穿越道、地下道、天橋而穿越道路,否
撞交通島,2022,1.0,20220106.0,新北市政府警察局,新北市五股區新北市五股區臺64線道路下五股一匝道,雨,省道,1.0,小客車,男,43.0,不明原因肇事,否
撞交通島,2022,1.0,20220106.0,新北市政府警察局,新北市五股區新北市五股區臺64線道路下五股一匝道,雨,省道,2.0,,無或物(動物、堆置物),0.0,不明原因肇事,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,1.0,曳引車,男,39.0,變換車道或方向不當,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,2.0,小客車,男,62.0,變換車道或方向不當,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,3.0,,無或物(動物、堆置物),-1.0,變換車道或方向不當,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,4.0,小客車,男,21.0,變換車道或方向不當,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,5.0,小客車,男,38.0,變換車道或方向不當,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,6.0,人,男,34.0,變換車道或方向不當,否
同向擦撞,2022,1.0,20220106.0,國道公路警察局,臺南市安定區國道1號 310公里700.0公尺處南側向外側,晴,國道,7.0,人,男,24.0,變換車道或方向不當,否
其他,2022,1.0,20220107.0,臺北市政府警察局,臺北市大同區重慶北路3段88號前0.0公尺,陰,市區道路,1.0,小貨車(含客、貨兩用),男,46.0,倒車未依規定,否
其他,2022,1.0,20220107.0,臺北市政府警察局,臺北市大同區重慶北路3段88號前0.0公尺,陰,市區道路,2.0,人,女,70.0,倒車未依規定,否
其他,2022,1.0,20220107.0,臺南市政府警察局,臺南市新市區社內里社內28之18號前0.0公尺,晴,市區道路,1.0,機車,男,51.0,其他引起事故之違規或不當行為,否
其他,2022,1.0,20220107.0,臺南市政府警察局,臺南市新市區社內里社內28之18號前0.0公尺,晴,市區道路,2.0,機車,男,28.0,其他引起事故之違規或不當行為,否
其他,2022,1.0,20220107.0,臺南市政府警察局,臺南市新市區社內里社內28之18號前0.0公尺,晴,市區道路,3.0,機車,男,35.0,其他引起事故之違規或不當行為,否
其他,2022,1.0,20220107.0,臺東縣警察局,臺東縣池上鄉台9線 310公里,晴,省道,1.0,機車,女,39.0,酒醉(後)駕駛失控,否
其他,2022,1.0,20220107.0,臺東縣警察局,臺東縣池上鄉台9線 310公里,晴,省道,2.0,小客車,男,41.0,酒醉(後)駕駛失控,否
其他,2022,1.0,20220107.0,臺東縣警察局,臺東縣池上鄉台9線 310公里,晴,省道,3.0,,無或物(動物、堆置物),-1.0,酒醉(後)駕駛失控,否
路口交岔撞,2022,1.0,20220107.0,雲林縣警察局,雲林縣麥寮鄉興華村山寮路115之60號附近,晴,村里道路,1.0,機車,女,71.0,未依規定讓車,否
路口交岔撞,2022,1.0,20220107.0,雲林縣警察局,雲林縣麥寮鄉興華村山寮路115之60號附近,晴,村里道路,2.0,其他車,男,53.0,未依規定讓車,否
撞橋樑、建築物,2022,1.0,20220107.0,臺中市政府警察局,臺中市大里區樹王里中投東路三段前0.0公尺,晴,市區道路,1.0,小客車,男,44.0,酒醉(後)駕駛失控,否
撞橋樑、建築物,2022,1.0,20220107.0,臺中市政府警察局,臺中市大里區樹王里中投東路三段前0.0公尺,晴,市區道路,2.0,,無或物(動物、堆置物),0.0,酒醉(後)駕駛失控,否
側撞,2022,1.0,20220108.0,臺北市政府警察局,臺北市中正區新生南路1段 / 臺北市中正區仁愛路2段,晴,市區道路,1.0,小客車,男,55.0,違反號誌管制或指揮,否
側撞,2022,1.0,20220108.0,臺北市政府警察局,臺北市中正區新生南路1段 / 臺北市中正區仁愛路2段,晴,市區道路,2.0,機車,男,26.0,違反號誌管制或指揮,否
側撞,2022,1.0,20220108.0,臺北市政府警察局,臺北市中正區新生南路1段 / 臺北市中正區仁愛路2段,晴,市區道路,3.0,機車,男,27.0,違反號誌管制或指揮,否
側撞,2022,1.0,20220108.0,臺北市政府警察局,臺北市中正區新生南路1段 / 臺北市中正區仁愛路2段,晴,市區道路,4.0,人,女,23.0,違反號誌管制或指揮,否
撞交通島,2022,1.0,20220108.0,臺東縣警察局,臺東縣臺東市馬亨亨大道625號往東90公尺處,晴,市區道路,1.0,小客車,男,69.0,未注意車前狀態,否
撞交通島,2022,1.0,20220108.0,臺東縣警察局,臺東縣臺東市馬亨亨大道625號往東90公尺處,晴,市區道路,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
撞交通島,2022,1.0,20220108.0,臺東縣警察局,臺東縣臺東市馬亨亨大道625號往東90公尺處,晴,市區道路,3.0,人,女,68.0,未注意車前狀態,否
撞交通島,2022,1.0,20220108.0,臺東縣警察局,臺東縣臺東市馬亨亨大道625號往東90公尺處,晴,市區道路,4.0,人,男,37.0,未注意車前狀態,否
衝出路外,2022,1.0,20220108.0,金門縣警察局,金門縣金湖鎮四維路15204號路燈桿前路段,晴,村里道路,1.0,機車,男,46.0,未注意車前狀態,否
衝出路外,2022,1.0,20220108.0,金門縣警察局,金門縣金湖鎮四維路15204號路燈桿前路段,晴,村里道路,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
側撞,2022,1.0,20220109.0,彰化縣警察局,彰化縣芬園鄉社口村彰南路4段 / 彰化縣芬園鄉社口村成功路,晴,村里道路,1.0,機車,男,20.0,未依規定讓車,否
側撞,2022,1.0,20220109.0,彰化縣警察局,彰化縣芬園鄉社口村彰南路4段 / 彰化縣芬園鄉社口村成功路,晴,村里道路,2.0,小客車,男,28.0,未依規定讓車,否
側撞,2022,1.0,20220109.0,彰化縣警察局,彰化縣芬園鄉社口村彰南路4段 / 彰化縣芬園鄉社口村成功路,晴,村里道路,3.0,小客車,男,28.0,未依規定讓車,是
其他,2022,1.0,20220109.0,桃園市政府警察局,桃園市平鎮區金陵路二段385之1號前0.0公尺,陰,市區道路,1.0,機車,女,26.0,未注意車前狀態,否
其他,2022,1.0,20220109.0,桃園市政府警察局,桃園市平鎮區金陵路二段385之1號前0.0公尺,陰,市區道路,2.0,大貨車,男,22.0,未注意車前狀態,否
其他,2022,1.0,20220109.0,桃園市政府警察局,桃園市平鎮區金陵路二段385之1號前0.0公尺,陰,市區道路,3.0,機車,男,25.0,未注意車前狀態,是
衝出路外,2022,1.0,20220109.0,彰化縣警察局,彰化縣大城鄉臺西村北頭巷前0.0公尺,晴,村里道路,1.0,機車,男,46.0,不明原因肇事,否
衝出路外,2022,1.0,20220109.0,彰化縣警察局,彰化縣大城鄉臺西村北頭巷前0.0公尺,晴,村里道路,2.0,,無或物(動物、堆置物),0.0,不明原因肇事,否
其他,2022,1.0,20220109.0,新北市政府警察局,新北市新店區中央路57號前0.0公尺,雨,市區道路,1.0,慢車,男,81.0,違反號誌管制或指揮,否
其他,2022,1.0,20220109.0,新北市政府警察局,新北市新店區中央路57號前0.0公尺,雨,市區道路,2.0,小客車,男,66.0,違反號誌管制或指揮,否
其他,2022,1.0,20220110.0,國道公路警察局,苗栗縣頭份市國道1號 109公里600.0公尺處北側向外側,晴,國道,1.0,人,男,31.0,其他引起事故之疏失或行為,否
其他,2022,1.0,20220110.0,國道公路警察局,苗栗縣頭份市國道1號 109公里600.0公尺處北側向外側,晴,國道,2.0,大客車,男,58.0,其他引起事故之疏失或行為,否
穿越道路中,2022,1.0,20220110.0,桃園市政府警察局,桃園市楊梅區楊新路口 / 桃園市楊梅區大成路口,晴,市區道路,1.0,小客車,男,31.0,超速失控,是
穿越道路中,2022,1.0,20220110.0,桃園市政府警察局,桃園市楊梅區楊新路口 / 桃園市楊梅區大成路口,晴,市區道路,2.0,人,男,80.0,超速失控,否
其他,2022,1.0,20220110.0,苗栗縣警察局,苗栗縣後龍鎮台61線107公里北上側車道,陰,其他,1.0,機車,男,18.0,違規超車,否
其他,2022,1.0,20220110.0,苗栗縣警察局,苗栗縣後龍鎮台61線107公里北上側車道,陰,其他,2.0,大貨車,男,51.0,違規超車,否
其他,2022,1.0,20220110.0,國道公路警察局,高雄市大樹區國道3號 384公里800.0公尺處北側向中線,晴,國道,1.0,半聯結車,男,46.0,車輪脫落或輪胎爆裂,否
其他,2022,1.0,20220110.0,國道公路警察局,高雄市大樹區國道3號 384公里800.0公尺處北側向中線,晴,國道,2.0,,無或物(動物、堆置物),-1.0,車輪脫落或輪胎爆裂,否
其他,2022,1.0,20220110.0,國道公路警察局,高雄市大樹區國道3號 384公里800.0公尺處北側向中線,晴,國道,3.0,小貨車(含客、貨兩用),男,49.0,車輪脫落或輪胎爆裂,否
其他,2022,1.0,20220110.0,國道公路警察局,高雄市大樹區國道3號 384公里800.0公尺處北側向中線,晴,國道,4.0,人,女,50.0,車輪脫落或輪胎爆裂,否
側撞,2022,1.0,20220110.0,桃園市政府警察局,桃園市龜山區忠義路一段1433號前0.0公尺,晴,市區道路,1.0,機車,男,85.0,左轉彎未依規定,否
側撞,2022,1.0,20220110.0,桃園市政府警察局,桃園市龜山區忠義路一段1433號前0.0公尺,晴,市區道路,2.0,小貨車(含客、貨兩用),男,39.0,左轉彎未依規定,否
對向通行中,2022,1.0,20220110.0,澎湖縣政府警察局,澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里文昌街口,陰,市區道路,1.0,小客車,女,37.0,未注意車前狀態,否
對向通行中,2022,1.0,20220110.0,澎湖縣政府警察局,澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里文昌街口,陰,市區道路,2.0,人,女,90.0,未注意車前狀態,否
撞路樹、電桿,2022,1.0,20220110.0,高雄市政府警察局,高雄市杉林區杉美路附近 / 高雄市杉林區桐竹路附近,晴,市區道路,1.0,小客車,男,21.0,酒醉(後)駕駛失控,否
撞路樹、電桿,2022,1.0,20220110.0,高雄市政府警察局,高雄市杉林區杉美路附近 / 高雄市杉林區桐竹路附近,晴,市區道路,2.0,,無或物(動物、堆置物),111.0,酒醉(後)駕駛失控,否
佇立路邊(外),2022,1.0,20220111.0,臺中市政府警察局,臺中市大雅區大雅里中清路三段1215號前0.0公尺,晴,市區道路,1.0,人,男,43.0,其他引起事故之疏失或行為,否
佇立路邊(外),2022,1.0,20220111.0,臺中市政府警察局,臺中市大雅區大雅里中清路三段1215號前0.0公尺,晴,市區道路,2.0,小客車,男,40.0,其他引起事故之疏失或行為,否
同向通行中,2022,1.0,20220111.0,新北市政府警察局,新北市土城區中央路2段96號前0.0公尺,雨,市區道路,1.0,機車,男,70.0,未注意車前狀態,否
同向通行中,2022,1.0,20220111.0,新北市政府警察局,新北市土城區中央路2段96號前0.0公尺,雨,市區道路,2.0,人,女,73.0,未注意車前狀態,否
同向通行中,2022,1.0,20220111.0,新北市政府警察局,新北市土城區中央路2段96號前0.0公尺,雨,市區道路,3.0,機車,女,37.0,未注意車前狀態,否
同向通行中,2022,1.0,20220111.0,新北市政府警察局,新北市土城區中央路2段96號前0.0公尺,雨,市區道路,4.0,機車,女,36.0,未注意車前狀態,否
同向通行中,2022,1.0,20220111.0,新北市政府警察局,新北市土城區中央路2段96號前0.0公尺,雨,市區道路,5.0,機車,女,41.0,未注意車前狀態,否
其他,2022,1.0,20220111.0,臺北市政府警察局,臺北市萬華區西寧南路13號前0.0公尺,雨,市區道路,1.0,慢車,女,68.0,違反特定標誌(線)禁制,否
其他,2022,1.0,20220111.0,臺北市政府警察局,臺北市萬華區西寧南路13號前0.0公尺,雨,市區道路,2.0,機車,男,70.0,違反特定標誌(線)禁制,否
同向擦撞,2022,1.0,20220111.0,高雄市政府警察局,高雄市湖內區中華街 / 高雄市湖內區中華街,晴,市區道路,1.0,機車,男,18.0,未注意車前狀態,否
同向擦撞,2022,1.0,20220111.0,高雄市政府警察局,高雄市湖內區中華街 / 高雄市湖內區中華街,晴,市區道路,2.0,機車,男,66.0,未注意車前狀態,否
撞橋樑、建築物,2022,1.0,20220112.0,花蓮縣警察局,花蓮縣秀林鄉台9丁線 61公里200.0公尺處北側向路肩,陰,省道,1.0,機車,男,19.0,未注意車前狀態,否
撞橋樑、建築物,2022,1.0,20220112.0,花蓮縣警察局,花蓮縣秀林鄉台9丁線 61公里200.0公尺處北側向路肩,陰,省道,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
側撞,2022,1.0,20220112.0,宜蘭縣政府警察局,宜蘭縣蘇澳鎮蘇濱路2段口 / 宜蘭縣蘇澳鎮蘇濱路2段口,陰,其他,1.0,曳引車,男,53.0,右轉彎未依規定,否
側撞,2022,1.0,20220112.0,宜蘭縣政府警察局,宜蘭縣蘇澳鎮蘇濱路2段口 / 宜蘭縣蘇澳鎮蘇濱路2段口,陰,其他,2.0,機車,男,40.0,右轉彎未依規定,否
側撞,2022,1.0,20220112.0,宜蘭縣政府警察局,宜蘭縣蘇澳鎮蘇濱路2段口 / 宜蘭縣蘇澳鎮蘇濱路2段口,陰,其他,3.0,人,女,38.0,右轉彎未依規定,否
對向擦撞,2022,1.0,20220112.0,臺南市政府警察局,臺南市新市區光華街口 / 臺南市新市區長安街,晴,市區道路,1.0,機車,男,63.0,未依規定讓車,否
對向擦撞,2022,1.0,20220112.0,臺南市政府警察局,臺南市新市區光華街口 / 臺南市新市區長安街,晴,市區道路,2.0,機車,男,20.0,未依規定讓車,否
撞路樹、電桿,2022,1.0,20220113.0,臺南市政府警察局,臺南市安南區安明路三段路燈146號處,晴,市區道路,1.0,機車,女,23.0,不明原因肇事,否
撞路樹、電桿,2022,1.0,20220113.0,臺南市政府警察局,臺南市安南區安明路三段路燈146號處,晴,市區道路,2.0,,無或物(動物、堆置物),-1.0,不明原因肇事,否
穿越道路中,2022,1.0,20220113.0,新北市政府警察局,新北市土城區永安街78號前0.0公尺,雨,市區道路,1.0,機車,男,25.0,未注意車前狀態,否
